"","x"
"1",9
"2",9
"3",9
"4",14
"5",12
"6",10
"7",5
"8",6
"9",2
"10",6
"11",3
"12",13
"13",15
"14",2
"15",7
"16",7
"17",7
"18",7
"19",7
"20",11
"21",11
"22",16
"23",1
"24",1
"25",9
"26",8
"27",13
"28",13
"29",15
"30",10
"31",10
"32",10
"33",10
"34",1
"35",3
"36",10
"37",11
"38",11
"39",7
"40",7
"41",7
"42",7
"43",14
"44",11
"45",15
"46",16
"47",15
"48",14
"49",6
"50",7
"51",14
"52",14
"53",11
"54",2
"55",8
"56",16
"57",16
"58",11
"59",14
"60",7
"61",14
"62",10
"63",7
"64",6
"65",8
"66",8
"67",9
"68",9
"69",13
"70",13
"71",13
"72",11
"73",11
"74",11
"75",11
"76",7
"77",14
"78",14
"79",14
"80",4
"81",13
"82",13
"83",4
"84",4
"85",8
"86",5
"87",15
"88",9
"89",6
"90",8
"91",12
"92",15
"93",9
"94",16
"95",9
"96",9
"97",1
"98",1
"99",11
"100",12
"101",9
"102",2
"103",7
"104",7
"105",7
"106",9
"107",3
"108",4
"109",8
"110",8
"111",8
"112",10
"113",11
"114",3
"115",16
"116",5
"117",9
"118",9
"119",3
"120",2
"121",3
"122",6
"123",6
"124",3
"125",4
"126",4
"127",11
"128",10
"129",13
"130",6
"131",16
"132",15
"133",10
"134",15
"135",13
"136",5
"137",2
"138",7
"139",8
"140",16
"141",12
"142",12
"143",10
"144",15
"145",1
"146",1
"147",10
"148",10
"149",9
"150",13
"151",13
"152",16
"153",2
"154",2
"155",2
"156",3
"157",10
"158",9
"159",3
"160",6
"161",3
"162",11
"163",1
"164",2
"165",3
"166",15
"167",10
"168",4
"169",3
"170",11
"171",8
"172",6
"173",3
"174",3
"175",3
"176",7
"177",7
"178",7
"179",13
"180",13
"181",10
"182",13
"183",13
"184",3
"185",3
"186",11
"187",14
"188",10
"189",2
"190",3
"191",11
"192",10
"193",10
"194",12
"195",16
"196",8
"197",9
"198",9
"199",10
"200",6
"201",6
"202",4
"203",16
"204",8
"205",4
"206",10
"207",3
"208",8
"209",8
"210",2
"211",8
"212",7
"213",9
"214",9
"215",12
"216",12
"217",12
"218",15
"219",13
"220",13
"221",9
"222",16
"223",4
"224",6
"225",13
"226",13
"227",14
"228",2
"229",6
"230",2
"231",1
"232",1
"233",1
"234",7
"235",15
"236",10
"237",15
"238",9
"239",6
"240",2
"241",3
"242",8
"243",10
"244",3
"245",4
"246",3
"247",3
"248",3
"249",8
"250",8
"251",7
"252",11
"253",12
"254",12
"255",6
"256",6
"257",3
"258",2
"259",9
"260",9
"261",15
"262",16
"263",6
"264",11
"265",6
"266",3
"267",7
"268",5
"269",3
"270",7
"271",13
"272",10
"273",15
"274",14
"275",3
"276",3
"277",11
"278",1
"279",2
"280",8
"281",8
"282",11
"283",3
"284",5
"285",3
"286",8
"287",13
"288",13
"289",9
"290",6
"291",2
"292",8
"293",8
"294",8
"295",10
"296",6
"297",7
"298",7
"299",6
"300",3
"301",4
"302",13
"303",9
"304",9
"305",8
"306",8
"307",13
"308",13
"309",15
"310",4
"311",4
"312",4
"313",13
"314",11
"315",4
"316",4
"317",4
"318",10
"319",10
"320",9
"321",3
"322",11
"323",11
"324",3
"325",7
"326",7
"327",9
"328",5
"329",5
"330",5
"331",9
"332",13
"333",5
"334",2
"335",2
"336",7
"337",1
"338",1
"339",1
"340",15
"341",15
"342",16
"343",10
"344",16
"345",15
"346",5
"347",6
"348",6
"349",4
"350",4
"351",4
"352",5
"353",6
"354",6
"355",2
"356",9
"357",16
"358",4
"359",16
"360",16
"361",11
"362",1
"363",6
"364",16
"365",10
"366",7
"367",16
"368",16
"369",15
"370",12
"371",10
"372",6
"373",2
"374",6
"375",3
"376",4
"377",4
"378",8
"379",8
"380",8
"381",12
"382",9
"383",2
"384",9
"385",10
"386",2
"387",7
"388",9
"389",13
"390",15
"391",13
"392",8
"393",11
"394",11
"395",9
"396",9
"397",13
"398",15
"399",9
"400",16
"401",14
"402",5
"403",1
"404",3
"405",3
"406",4
"407",13
"408",13
"409",10
"410",7
"411",5
"412",5
"413",9
"414",9
"415",13
"416",6
"417",1
"418",7
"419",7
"420",3
"421",14
"422",12
"423",16
"424",13
"425",15
"426",13
"427",2
"428",2
"429",5
"430",5
"431",1
"432",1
"433",1
"434",12
"435",15
"436",14
"437",7
"438",14
"439",10
"440",13
"441",9
"442",9
"443",14
"444",6
"445",2
"446",7
"447",7
"448",11
"449",13
"450",14
"451",4
"452",4
"453",6
"454",12
"455",9
"456",9
"457",11
"458",3
"459",7
"460",7
"461",5
"462",5
"463",1
"464",6
"465",6
"466",3
"467",4
"468",2
"469",1
"470",1
"471",6
"472",10
"473",10
"474",10
"475",10
"476",10
"477",16
"478",10
"479",9
"480",9
"481",6
"482",5
"483",6
"484",10
"485",16
"486",15
"487",3
"488",9
"489",14
"490",1
"491",8
"492",9
"493",9
"494",5
"495",2
"496",8
"497",12
"498",12
"499",12
"500",12
"501",12
